,ano,data_eleicao,id_municipio,nome_urna,sigla_partido,idade,genero,raca
80,2024,2024-10-06,2611606,Chico Kiko,PSB,59,masculino,branca
81,2024,2024-10-06,2611606,China,PSDB,38,masculino,parda
82,2024,2024-10-06,2611606,Cibelle Albuquerque,MDB,42,feminino,preta
83,2024,2024-10-06,2611606,Cicero Almeida,PRD,59,masculino,branca
84,2024,2024-10-06,2611606,Cicero Carlos,CIDADANIA,52,masculino,parda
85,2024,2024-10-06,2611606,Cida Pedrosa,PC do B,61,feminino,branca
86,2024,2024-10-06,2611606,Cintia Costa,PP,42,feminino,parda
87,2024,2024-10-06,2611606,Claudia Araujo,MOBILIZA,45,feminino,preta
88,2024,2024-10-06,2611606,Cleidjane Da Enfermagem,PL,55,feminino,preta
89,2024,2024-10-06,2611606,Cleiton Miguel Fonoaudiologo,NOVO,53,masculino,branca
90,2024,2024-10-06,2611606,Cleto Correia,MDB,57,masculino,parda
91,2024,2024-10-06,2611606,Cláudio Mendonça,MDB,44,masculino,parda
92,2024,2024-10-06,2611606,Comissária Patrícia Ferreira,AVANTE,40,feminino,branca
93,2024,2024-10-06,2611606,Coronel Claudia,MDB,53,feminino,parda
94,2024,2024-10-06,2611606,Coronel Pacífico,MDB,52,masculino,parda
95,2024,2024-10-06,2611606,Coronel Paulo Matos,PL,53,masculino,branca
96,2024,2024-10-06,2611606,Crislainy Fabricio,AVANTE,27,feminino,parda
97,2024,2024-10-06,2611606,Cândida Bomfim,PSB,61,feminino,branca
98,2024,2024-10-06,2611606,Céu Albuquerque,PV,34,feminino,parda
99,2024,2024-10-06,2611606,Có Do Povo,REPUBLICANOS,40,masculino,branca
100,2024,2024-10-06,2611606,Dalva De Jesus,PL,76,feminino,preta
101,2024,2024-10-06,2611606,Dani Dias,PSD,32,feminino,parda
102,2024,2024-10-06,2611606,Dani Gusmão,AVANTE,49,feminino,branca
103,2024,2024-10-06,2611606,Dani Mello,PC do B,50,feminino,branca
104,2024,2024-10-06,2611606,Daniel Tié,AVANTE,58,masculino,parda
105,2024,2024-10-06,2611606,Daniel Uchôa,REPUBLICANOS,42,masculino,branca
106,2024,2024-10-06,2611606,Dario Pessoa,PRD,55,masculino,parda
107,2024,2024-10-06,2611606,Davi Muniz,PSD,43,masculino,parda
108,2024,2024-10-06,2611606,Dayse Brandão,PSDB,61,feminino,parda
109,2024,2024-10-06,2611606,Dayse Helena ,MOBILIZA,55,feminino,branca
110,2024,2024-10-06,2611606,Debora Moura,NOVO,43,feminino,parda
111,2024,2024-10-06,2611606,Deborah Leite,NOVO,34,feminino,parda
112,2024,2024-10-06,2611606,Deivinho Dantas,PRD,35,masculino,parda
113,2024,2024-10-06,2611606,Delegada Tereza Nogueira,NOVO,46,feminino,preta
114,2024,2024-10-06,2611606,Derley Chagas,MDB,43,masculino,preta
115,2024,2024-10-06,2611606,Dilson Batista,AVANTE,45,masculino,preta
116,2024,2024-10-06,2611606,Dinha De Saramandaia,PC do B,54,feminino,preta
117,2024,2024-10-06,2611606,Diácono Ronaldo,PSD,47,masculino,branca
118,2024,2024-10-06,2611606,Djyjo Do Ibura,CIDADANIA,50,masculino,parda
119,2024,2024-10-06,2611606,Doduel Varela,PSD,61,masculino,branca
120,2024,2024-10-06,2611606,Domingos Sávio,PT,57,masculino,branca
121,2024,2024-10-06,2611606,Dona Léo,PRD,71,feminino,parda
122,2024,2024-10-06,2611606,Dona Val Dos Direitos Humanos,AVANTE,70,feminino,branca
123,2024,2024-10-06,2611606,Douglas Brito Ativista,AVANTE,32,masculino,preta
124,2024,2024-10-06,2611606,Douglas Pessoa,AVANTE,44,masculino,parda
125,2024,2024-10-06,2611606,Dr  Stênio,PSD,59,masculino,branca
126,2024,2024-10-06,2611606,Dr Ari Dutra,PRD,59,masculino,parda
127,2024,2024-10-06,2611606,Dr Eduardo Miranda,NOVO,67,masculino,branca
128,2024,2024-10-06,2611606,Dr Penha,PRD,63,masculino,branca
129,2024,2024-10-06,2611606,Dr Tiago Lima,PL,43,masculino,parda
130,2024,2024-10-06,2611606,Dr. Elcio Cavalcanti,DC,63,masculino,branca
131,2024,2024-10-06,2611606,Dr. Robson Viana,DC,60,masculino,parda
132,2024,2024-10-06,2611606,Dr. Rogerio Lucca,PP,71,masculino,branca
133,2024,2024-10-06,2611606,Dra Carol Messias,NOVO,42,feminino,parda
134,2024,2024-10-06,2611606,Dra Roberta Virgínia,PSD,53,feminino,preta
135,2024,2024-10-06,2611606,Dra Vera Lopes,PSB,74,feminino,branca
136,2024,2024-10-06,2611606,Dra. Thais Azevedo,DC,34,feminino,branca
137,2024,2024-10-06,2611606,Driane Julia,PSD,35,feminino,branca
138,2024,2024-10-06,2611606,Drica Do Povo,MOBILIZA,51,feminino,parda
139,2024,2024-10-06,2611606,Duda Santos,PSD,27,feminino,parda
140,2024,2024-10-06,2611606,Déa De Paula,PSD,35,feminino,branca
141,2024,2024-10-06,2611606,Ebinho Florencio,REDE,33,masculino,branca
