,local,sigla_partido,EBAIRRNOMEOF,latitude,longitude,RPA,votos
44,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,DC,CASA AMARELA,-8.02776,-34.92460167,RPA3,3
45,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,MDB,CASA AMARELA,-8.02776,-34.92460167,RPA3,92
46,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,MOBILIZA,CASA AMARELA,-8.02776,-34.92460167,RPA3,16
47,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,NOVO,CASA AMARELA,-8.02776,-34.92460167,RPA3,54
48,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,PC do B,CASA AMARELA,-8.02776,-34.92460167,RPA3,27
49,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,PL,CASA AMARELA,-8.02776,-34.92460167,RPA3,123
50,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,PP,CASA AMARELA,-8.02776,-34.92460167,RPA3,26
51,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,PRD,CASA AMARELA,-8.02776,-34.92460167,RPA3,46
52,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,PSB,CASA AMARELA,-8.02776,-34.92460167,RPA3,217
53,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,PSD,CASA AMARELA,-8.02776,-34.92460167,RPA3,49
54,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,PSDB,CASA AMARELA,-8.02776,-34.92460167,RPA3,1
55,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,PSOL,CASA AMARELA,-8.02776,-34.92460167,RPA3,40
56,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,PT,CASA AMARELA,-8.02776,-34.92460167,RPA3,96
57,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,PV,CASA AMARELA,-8.02776,-34.92460167,RPA3,63
58,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,REDE,CASA AMARELA,-8.02776,-34.92460167,RPA3,17
59,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,REPUBLICANOS,CASA AMARELA,-8.02776,-34.92460167,RPA3,37
60,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,SOLIDARIEDADE,CASA AMARELA,-8.02776,-34.92460167,RPA3,1
61,ASSOC. DOS AUDITORES DO TESOURO ESTADUAL,AVANTE,NOVA DESCOBERTA,-8.0035653,-34.9178564,RPA3,45
